date,tmin,tmax,tavg,year,month,season,day,diff
18729,10.5,13.3,17.15,1951,4,Spring,11,8.167619048
18730,7.5,14.7,14.85,1951,4,Spring,12,8.148571429
18731,6.4,17.4,11.9,1951,4,Spring,13,7.767142857
18732,6.6,21.1,13.85,1951,4,Spring,14,8.902857143
18733,16.8,19.2,18,1951,4,Spring,15,7.607142857
18734,11.4,21,16.2,1951,4,Spring,16,7.515714286
18735,11,17.4,14.2,1951,4,Spring,17,8.012857143
18736,4.2,19.4,11.8,1951,4,Spring,18,8.143571429
18737,13.4,15.9,14.65,1951,4,Spring,19,8.43
18738,12.6,18.5,21.85,1951,4,Spring,20,8.127619048
18739,20.6,21,20.8,1951,4,Spring,21,8.24452381
18740,12.6,17.9,15.25,1951,4,Spring,22,7.834285714
18741,13.8,19.5,16.65,1951,4,Spring,23,7.852857143
18742,7.2,18.8,13,1951,4,Spring,24,7.374285714
18743,5.4,18,11.7,1951,4,Spring,25,8.05952381
18744,6.4,21.6,14,1951,4,Spring,26,8.606190476
18745,12,22.1,17.05,1951,4,Spring,27,8.145714286
18746,13.2,20.5,23.45,1951,4,Spring,28,7.647619048
18747,13.6,23,25.1,1951,4,Spring,29,7.451666667
18748,19.8,22.1,20.95,1951,4,Spring,30,7.099285714
18749,13,20.7,16.85,1951,5,Spring,1,7.288095238
18750,11.8,25.2,18.5,1951,5,Spring,2,7.721904762
18751,13.8,27,20.4,1951,5,Spring,3,7.124285714
18752,17.8,27.2,22.5,1951,5,Spring,4,6.754285714
18753,11.9,21.8,22.8,1951,5,Spring,5,8.164285714
18754,15.2,24.6,19.9,1951,5,Spring,6,7.681428571
18755,20.4,26.1,23.25,1951,5,Spring,7,7.175845411
18756,16,18.6,25.3,1951,5,Spring,8,7.470952381
18757,13.4,22.6,24.7,1951,5,Spring,9,7.977619048
18758,18.8,27.9,23.35,1951,5,Spring,10,6.956666667
18759,24,27.2,25.6,1951,5,Spring,11,7.7
18760,26.4,30.6,28.5,1951,5,Spring,12,6.628571429
18761,26.4,28.5,27.45,1951,5,Spring,13,8.33
18762,15.1,22.6,26.4,1951,5,Spring,14,7.751428571
18763,16,22.1,27.05,1951,5,Spring,15,7.28
18764,16.8,26.1,29.85,1951,5,Spring,16,8.567142857
18765,15.1,25.5,27.85,1951,5,Spring,17,8.028571429
18766,12.4,22.8,23.8,1951,5,Spring,18,7.065714286
18767,18,21.7,19.85,1951,5,Spring,19,7.520289855
18768,18.6,21.4,20,1951,5,Spring,20,8.611428571
18769,12.6,24.8,18.7,1951,5,Spring,21,7.625714286
18770,13.6,23.8,25.5,1951,5,Spring,22,8.752857143
18771,24.6,26.5,25.55,1951,5,Spring,23,7.710869565
18772,23,28.6,25.8,1951,5,Spring,24,8.188405797
18773,26.2,30.3,28.25,1951,5,Spring,25,8.280434783
18774,17.6,26.2,30.7,1951,5,Spring,26,8.017391304
18775,16.5,21.4,27.2,1951,5,Spring,27,8.757971014
18776,16.1,23.2,27.7,1951,5,Spring,28,8.714285714
18777,27.2,27.3,27.25,1951,5,Spring,29,8.458571429
18778,25.2,31.5,28.35,1951,5,Spring,30,8.504347826
18779,17.8,23.6,29.6,1951,5,Spring,31,8.597142857
18780,17.4,27.7,31.25,1951,6,Summer,1,8.68
18781,28.6,33,30.8,1951,6,Summer,2,8.31
18782,17.7,29.7,32.55,1951,6,Summer,3,8.307142857
18783,18.2,26.4,31.4,1951,6,Summer,4,9.732857143
18784,14.2,24.8,26.6,1951,6,Summer,5,8.598571429
18785,27,27.4,27.2,1951,6,Summer,6,8.823333333
18786,16.1,25.6,28.9,1951,6,Summer,7,8.756190476
18787,16.8,28.5,31.05,1951,6,Summer,8,8.952857143
18788,16.8,27.6,30.6,1951,6,Summer,9,9.139047619
18789,26.4,28.6,27.5,1951,6,Summer,10,7.814285714
18790,27.2,28.6,27.9,1951,6,Summer,11,8.541428571
18791,15.2,26.4,28.4,1951,6,Summer,12,8.997142857
18792,23.8,28,25.9,1951,6,Summer,13,8.622857143
18793,13.9,27.2,27.5,1951,6,Summer,14,9.07047619
18794,15.9,21.4,26.6,1951,6,Summer,15,7.906763285
18795,17,24.5,29.25,1951,6,Summer,16,8.828843537
18796,14.7,28.5,28.95,1951,6,Summer,17,9.370544218
18797,27.6,28.5,28.05,1951,6,Summer,18,8.721292517
18798,28.2,30.4,29.3,1951,6,Summer,19,8.517755102
18799,17.3,30.9,32.75,1951,6,Summer,20,8.939130435
18800,19.5,26.4,32.7,1951,6,Summer,21,8.53115942
18801,17.9,27,31.4,1951,6,Summer,22,8.207142857
18802,14,26.8,27.4,1951,6,Summer,23,8.447142857
18803,24.4,29,26.7,1951,6,Summer,24,8.9
18804,16.4,21.9,27.35,1951,6,Summer,25,7.804285714
18805,14.8,28,28.8,1951,6,Summer,26,8.715942029
18806,15.5,29.5,30.25,1951,6,Summer,27,8.146376812
18807,19.7,24.6,32,1951,6,Summer,28,8.424637681
18808,20.1,27.5,33.85,1951,6,Summer,29,8.11
18809,17.8,27.7,31.65,1951,6,Summer,30,7.755714286
18810,21.6,28.7,35.95,1951,7,Summer,1,7.955714286
18811,20.8,26.2,33.9,1951,7,Summer,2,7.931428571
18812,18.7,23.4,30.4,1951,7,Summer,3,8.404285714
18813,18.7,27.2,32.3,1951,7,Summer,4,8.564285714
18814,19.9,28.9,34.35,1951,7,Summer,5,7.677142857
18815,17.7,27.4,31.4,1951,7,Summer,6,8.55
18816,15.6,30,30.6,1951,7,Summer,7,8.802857143
